price,Комиссия,count_room,built_house,balcony,Наличие мебели,Музеи,Салоны красоты косметических услуг,Рестораны / кафе быстрого питания,Продовольственные магазины,"Городские парки развлечений, аттракционов",Аптеки по продаже лекарств,"Маммологические центры, больницы, клиники, поликлиники","Фитнес-клубы, центры, залы",repair_flat_Дизайнерский,repair_flat_Евроремонт,repair_flat_Косметический,view_outside_Во двор,view_outside_На улицу,view_outside_На улицу и двор,type_house_Блочный,type_house_Кирпичный,type_house_Монолитно кирпичный,type_house_Монолитный,type_house_Панельный,parking_Наземная,parking_Открытая,parking_Подземная,circle_3 Транспортное,circle_Бульварное,circle_В пределах МКАД,circle_За МКАД,circle_Садовое,budget,coef_bern,coef_migrant,coef_people_prirost,coef_children,coef_year_people,coef_plotnost_people,coef_bacalavr_degree,coef_russian_people,coef_green_zone,coef_life_house,coef_happy_house,coef_ecology,square_log,metro_time_log,floor_log,azdist_log,mpa
70000.0,50,2,1996.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,37.99999999999999,1.9459101490553128,1.9459101490553128,7.65579471100404,33226.725
70000.0,50,0,2018.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,29.89999999999999,2.427454075039915,2.772588722239781,7.65579471100404,26144.186249999995
65000.0,50,2,1994.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,59.000000000000014,2.5900171341906173,2.19722457733622,8.042806218223932,51588.86250000002
75000.0,50,1,1996.0,0,0.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,37.99999999999999,1.7351891177396608,2.5649493574615367,7.65579471100404,33226.725
80000.0,50,1,1996.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,39.99999999999998,2.8903717578961645,3.4011973816621555,7.65579471100404,34975.499999999985
65000.0,20,1,1996.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,30.000000000000004,1.8453002361560848,2.3978952727983707,7.925520566289474,26231.625000000004
85000.0,0,2,2017.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,55.000000000000014,2.269028309465203,3.49650756146648,7.65579471100404,48091.312500000015
82500.0,0,1,2017.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,36.99999999999998,2.3978952727983707,2.8903717578961645,7.65579471100404,32352.337499999983
110000.0,50,3,2008.0,2,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,110.00000000000004,1.897619859927532,2.9444389791664403,7.910116755493523,96182.62500000004
115000.0,30,3,1996.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,59.999999999999986,1.7351891177396608,1.6094379124341005,7.65579471100404,52463.24999999999
115000.0,30,3,1996.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,59.999999999999986,1.7351891177396608,1.6094379124341005,7.65579471100404,52463.24999999999
37000.0,0,0,1996.0,0,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,17.999999999999996,2.5649493574615367,1.3862943611198906,8.10322237164525,14879.474999999999
35000.0,50,1,2012.0,1,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,45.000000000000014,2.995732273553991,2.4849066497880004,7.943985105750795,37198.687500000015
35000.0,0,0,1996.0,0,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,15.999999999999998,2.5649493574615367,1.3862943611198906,8.10322237164525,13226.199999999999
40000.0,0,0,1996.0,0,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,18.1,2.302585092994046,1.3862943611198906,8.10322237164525,14962.138750000002
40000.0,60,2,1968.0,1,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,54.00000000000001,2.0373166153791646,1.791759469228055,7.795979213345448,44638.42500000001
38000.0,100,1,2005.0,0,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,37.99999999999999,3.3558512798952784,0.0,8.057969240873408,31412.224999999995
28000.0,50,1,1971.0,0,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,17.999999999999996,1.6094379124341005,0.6931471805599453,7.937509876813853,14879.474999999999
36000.0,100,1,1972.0,0,0.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,34.99999999999998,2.1198634561787517,1.6094379124341005,7.838611615472288,28932.312499999985
38000.0,100,2,1970.0,1,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,43.99999999999999,2.70805020110221,1.791759469228055,7.929499578727516,36372.049999999996
38000.0,50,2,1969.0,1,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,38.99999999999999,2.1598687907924505,2.302585092994046,7.825311963087251,32238.862499999996
40000.0,50,1,2011.0,2,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,37.99999999999999,2.70805020110221,2.70805020110221,7.900159890410295,31412.224999999995
45000.0,0,0,1996.0,0,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,17.80000000000001,3.283539338193923,1.3862943611198906,8.10322237164525,14714.14750000001
50000.0,0,0,1996.0,0,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,20.899999999999995,3.283539338193923,1.3862943611198906,8.10322237164525,17276.723749999997
45000.0,80,2,1970.0,1,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,42.99999999999996,2.302585092994046,2.19722457733622,7.911390207671767,35545.41249999997
45000.0,0,1,2006.0,1,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,52.000000000000036,1.673351238177753,1.3862943611198906,8.057969240873408,42985.15000000003
45000.0,50,2,1967.0,0,1.0,3.0,56.0,26.0,54.0,1.0,57.0,1.0,11.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,61178.0,7.975,18.473333333333333,-0.5,5.63,39.2,7405.36,40.78,92.02,3.02140805835057,50.0,0.0,54.0,46.0,2.862200880929469,0.0,7.795979213345448,38025.325000000004
